movieId,title,genres,tmdb_id,budget,revenue,runtime,release_date,original_language,director,top_cast,production_companies,production_countries,keywords
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862.0,30000000.0,401157969.0,81.0,1995-11-22,en,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,Pixar,United States of America,rescue|friendship|mission|jealousy|villain|bullying|elementary school|rivalry|anthropomorphism|friends|computer animation|buddy|walkie talkie|toy car|boy next door|new toy|neighborhood|toy comes to life|resourcefulness|toy|hilarious|cheerful|pixar
2,Jumanji (1995),Adventure|Children|Fantasy,8844.0,65000000.0,262821940.0,104.0,1995-12-15,en,Joe Johnston,Robin Williams|Kirsten Dunst|Bradley Pierce,TriStar Pictures|Interscope Communications|Teitler Film|PolyGram Filmed Entertainment,United States of America,giant insect|board game|disappearance|jungle|recluse|stampede|based on young adult novel|vibrant
3,Grumpier Old Men (1995),Comedy|Romance,15602.0,25000000.0,71518503.0,101.0,1995-12-22,en,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret,Lancaster Gate|Warner Bros. Pictures,United States of America,fishing|sequel|old man|best friend|wedding|italian restaurant|old friends|duringcreditsstinger|pranks
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357.0,16000000.0,81452156.0,127.0,1995-12-22,en,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine,20th Century Fox,United States of America,based on novel or book|single mother|divorce|anxious|friendship between women|cautionary|adoring|celebratory|comforting|african american romance|african american friendship
5,Father of the Bride Part II (1995),Comedy,11862.0,,76594107.0,106.0,1995-12-08,en,Charles Shyer,Steve Martin|Diane Keaton|Martin Short,Touchstone Pictures|Sandollar Productions,United States of America,"daughter|baby|parent child relationship|midlife crisis|pregnancy|confidence|aging|sequel|remake|los angeles, california|pregnant woman|contraception|gynecologist|pregnant"
6,Heat (1995),Action|Crime|Thriller,949.0,60000000.0,187400000.0,170.0,1995-12-15,en,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer,Warner Bros. Pictures|Regency Enterprises|Forward Pass,United States of America,"robbery|chase|obsession|detective|heist|remake|thief|honor|murder|betrayal|gang|los angeles, california|cat and mouse|bank robbery|criminal mastermind|cynical|ex-con|one last job|loner|bank job|neo-noir|crime epic|antagonistic|assertive|authoritarian|bold"
7,Sabrina (1995),Comedy|Romance,11860.0,58000000.0,53672080.0,127.0,1995-12-15,en,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear,Paramount Pictures|Constellation Films|Mirage Enterprises|Scott Rudin Productions|Sandollar Productions|Worldwide Productions|Mont Blanc Entertainment GmbH,Germany|United States of America,"chauffeur|sibling relationship|paris, france|transformation|birthday party|family business |long island, new york|playboy|teenage crush|millionaire|marriage engagement|high society|merger|impossible love|family disapproval|scheme|wealth differences|wealthy family|father daughter relationship|brother brother relationship|unlikely romance|romantic"
8,Tom and Huck (1995),Adventure|Children,45325.0,,23920048.0,97.0,1995-12-22,en,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig,Walt Disney Pictures|Painted Fence Productions,United States of America,based on novel or book|mississippi river|male friendship|restless youth|rural americana
9,Sudden Death (1995),Action,9091.0,35000000.0,64350171.0,111.0,1995-10-27,en,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,Shattered Productions|Universal Pictures|Imperial Entertainment|Signature Entertainment,United States of America,"explosive|hostage|ice hockey|terrorism|vice president|pittsburgh, pennsylvania|pittsburgh penguins"
10,GoldenEye (1995),Action|Adventure|Thriller,710.0,60000000.0,352194034.0,130.0,1995-11-16,en,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco,EON Productions,United Kingdom,"computer virus|cuba|falsely accused|secret intelligence service|secret identity|secret base|kgb|satellite|special car|cossack|electromagnetic pulse|time bomb|st. petersburg, russia|red army|james bond"
11,"American President, The (1995)",Comedy|Drama|Romance,9087.0,62000000.0,107879496.0,113.0,1995-11-17,en,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen,Castle Rock Entertainment|Universal Pictures|Wildwood Enterprises,United States of America,new love|usa president|the white house|holiday|global warming|press|fossil fuel|dating|class differences|widower|wildlife conservation|lobbyist|father daughter relationship|widower with daughter|romantic
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110.0,30000000.0,10772144.0,88.0,1995-12-22,en,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck,Castle Rock Entertainment|Brooksfilms|Gaumont,France|United States of America,vampire|satire|spoof|dracula
13,Balto (1995),Adventure|Animation|Children,21032.0,31000000.0,11348324.0,78.0,1995-12-22,en,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda,Amblin Entertainment|Amblimation|Universal Pictures,United States of America,wolf|pet|cartoon|villain|dog-sledding race|alaska|dog|goose|bear attack|dog sled|cartoon wolf|pets|cartoon animal
14,Nixon (1995),Drama,10858.0,44000000.0,13681765.0,192.0,1995-12-22,en,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,Cinergi Pictures|Hollywood Pictures|Illusion Entertainment Group,United States of America,"usa president|washington dc, usa|government|presidential election|1970s|watergate scandal|biography|historical figure|richard nixon|1960s|ambiguous|disapproving|disdainful|disheartening|earnest|empathetic|frustrated"
15,Cutthroat Island (1995),Action|Adventure|Romance,1408.0,102000000.0,16000000.0,124.0,1995-12-22,en,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella,Carolco Pictures|Forge|Laurence Mark Productions|Beckner/Gorman Productions|Le Studio Canal+|Tele-Communications|RCS Video|Cutthroat Productions L.P.,United States of America|France|Germany|Italy,ship|treasure|exotic island|island|map|scalp|treasure map|sword fight|betrayal|pirate|heroine|swashbuckler|adventurer|pirate ship|17th century
16,Casino (1995),Crime|Drama,524.0,50000000.0,116112375.0,179.0,1995-11-22,en,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci,Universal Pictures|Syalis DA|Légende Films|Cappa/De Fina Productions,France|United States of America,drug abuse|casino|based on novel or book|poker|italian american|gambling|1970s|fbi|pimp|greed|cocaine|overdose|marriage|car bomb|rise and fall|money|murder|organized crime|mafia|jewish american|las vegas|desert|safe deposit box|1980s|dramatic|suspenseful|brutal violence|fbi surveillance
