movieId,title,tmdb_id,genres,runtime,release_date,original_language,cast_frequency,director_frequency,avg_rating,num_ratings
12,Dracula: Dead and Loving It (1995),12110.0,Comedy|Horror,88.0,1995-12-22,en,36,10,2.6839,4715
13,Balto (1995),21032.0,Adventure|Animation|Children,78.0,1995-12-22,en,46,2,3.3617,2278
14,Nixon (1995),10858.0,Drama,192.0,1995-12-22,en,41,11,3.4287,6933
18,Four Rooms (1995),5.0,Comedy,98.0,1995-12-09,en,21,7,3.4202,6688
38,It Takes Two (1995),33689.0,Children|Comedy,101.0,1995-11-17,en,31,1,2.9426,802
46,How to Make an American Quilt (1995),11861.0,Drama|Romance,116.0,1995-10-06,en,58,1,3.264,3367
67,Two Bits (1995),40628.0,Drama,85.0,1995-10-22,en,27,5,3.3424,184
70,From Dusk Till Dawn (1996),755.0,Action|Comedy|Horror|Thriller,108.0,1996-01-19,en,39,4,3.34,17698
93,Vampire in Brooklyn (1995),12158.0,Comedy|Horror|Romance,102.0,1995-10-26,en,22,15,2.5024,2256
107,Muppet Treasure Island (1996),10874.0,Adventure|Children|Comedy|Musical,99.0,1996-02-16,en,16,1,3.2012,8346
148,"Awfully Big Adventure, An (1995)",22279.0,Drama,113.0,1995-05-11,en,15,8,2.9,380
157,Canadian Bacon (1995),1775.0,Comedy|War,91.0,1995-06-08,en,42,1,2.7957,2844
161,Crimson Tide (1995),8963.0,Drama|Thriller|War,116.0,1995-05-12,en,63,7,3.7485,27344
171,Jeffrey (1995),17447.0,Comedy|Drama,92.0,1995-08-18,en,8,0,3.5948,1482
186,Nine Months (1995),11472.0,Comedy|Romance,103.0,1995-07-12,en,18,6,2.8664,13237
190,Safe (1995),32646.0,Thriller,119.0,1995-06-23,en,8,2,3.6234,1199
198,Strange Days (1995),281.0,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,145.0,1995-10-13,en,13,3,3.4226,10271
202,Total Eclipse (1995),36834.0,Drama|Romance,111.0,1995-11-03,en,10,5,3.0902,510
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",9090.0,Comedy,108.0,1995-09-08,en,26,2,3.1659,6147
218,Boys on the Side (1995),9382.0,Comedy|Drama,115.0,1995-02-03,en,32,23,3.2829,4462
257,Just Cause (1995),9061.0,Mystery|Thriller,102.0,1995-02-17,en,51,1,3.4061,4115
280,Murder in the First (1995),8438.0,Drama|Thriller,122.0,1995-01-20,en,40,2,3.7082,5424
295,"Pyromaniac's Love Story, A (1995)",2307.0,Comedy|Romance,94.0,1995-04-28,en,8,0,2.8064,483
304,Roommates (1995),161495.0,Comedy|Drama,108.0,1995-03-03,en,30,20,3.1806,756
